"lang"
{
	"Language"		"koreana"
	"Tokens"
	{

		//-----------------------------------------------------------------------------
		// Upgrades: Weapon
		//-----------------------------------------------------------------------------

// Basic Magazine
"upgrade_clip_size_desc"			"<span class=\"highlight\">탄약</span>이 증가합니다."

// Extended Magazine
"upgrade_clip_size_fixed_desc"		"<span class=\"highlight\">탄약</span>이 증가합니다."

// Extra Large Magazine
"upgrade_clip_size_fixed_t3_desc"		"<span class=\"highlight\">탄약</span>이 크게 증가합니다."

// Big Clip
"upgrade_clip_size_2_desc"			"<span class=\"highlight\">탄약</span>이 크게 증가합니다."

// Extra Large Magazine
"upgrade_clip_size_3_desc"			"<span class=\"highlight\">탄약</span>이 크게 증가합니다."

// Ammo Scavenger
"upgrade_ammo_scavenger_desc"		"영혼을 확보하거나 디나이할 때마다 <span class=\"highlight\">탄약을 회복</span>하고 <span class=\"highlight\">스피릿 위력</span>을 축적합니다."
"AmmoPerSoul_label"					"영혼당 탄약"
"SpiritPowerPerSoul_label"			"영혼당 스피릿 위력"
"AmmoScavengerDuration_label"			"스피릿 위력 지속시간"
"AmmoScavengerDuration_postfix"		"s"

// Stabilizer
"upgrade_stabilizer_desc"		"사격 중 <span class=\"highlight\">이동 속도 패널티</span>를 제거하고 <span class=\"highlight\">총알 속도</span>를 증가시킵니다."

// Melee Lifesteal
"upgrade_lifestrike_gauntlets_desc"	"당신의 <span class=\"highlight\">근접</span> 공격이 {s:LifestrikeHealPercent}%의 <span class=\"highlight\">근접 피해</span>에 해당하는 체력을 회복하며 {s:LifestrikeHeal}만큼 추가로 회복합니다. 이 회복 효과는 비영웅에게는 {s:NonHeroHealPct}% 효과적입니다."

// Tesla Bullets
"upgrade_chain_lightning_desc"	"당신의 총알이 적을 <span class=\"highlight\">충격</span>시킬 확률이 있으며, 이 충격은 근처의 적에게로 이동합니다."

// Galvanic Storm
"upgrade_galvanic_storm_passive1"	"당신의 총알이 적을 <span class=\"highlight\">충격</span>시킬 확률이 있으며, 충격은 근처의 적에게로 이동합니다."
"upgrade_galvanic_storm_passive2"	"당신의 스피릿 위력 보호막이 파괴될 때, 당신은 강화되어 <span class=\"highlight\">{s:BuffDamageMult}배 충격 피해</span>와 <span class=\"highlight\">이동 속도 증가</span>를 얻습니다."
"BuffDamageMult_label"							"충격 배수"
"BuffDamageMult_postfix"							"x"
"GalvanicBuffDuration_label"						"지속시간"
"GalvanicBuffDuration_postfix"					"s"

// Fire Rate
"upgrade_attack_speed_1_desc"	"<span class=\"highlight\">연사 속도</span>가 증가합니다."

// Basic Fire Rate
"upgrade_small_attack_speed_desc"	"<span class=\"highlight\">연사 속도</span>가 증가합니다."

// Silence Glyph
"upgrade_targeted_silence_desc"	"투사체를 발사하여 목표를 <span class=\"highlight\">침묵시키고 피해를 입히며</span> 그들의 <span class=\"highlight\">스피릿 저항</span>을 감소시킵니다. 침묵은 채널링 능력을 방해하지 않습니다."

// EMP Bullets
"upgrade_proc_silence_desc"		"당신의 총알이 적 영웅에게 <span class=\"highlight\">EMP</span>를 충전시켜 <span class=\"highlight\">대상이 능력을 사용하는 것을 방지</span>합니다. 피해자는 적용이 만료된 후 <span class=\"highlight\">{s:ImmunityDuration}s</span> 동안 EMP 총알에 면역입니다."
"upgrade_proc_silence/modifier_citadel_silence_proc_watcher/modifier_citadel_base_buildup"	"침묵 생성 중..."

 // Silencer
"upgrade_silencer_active"		"다음 {s:AbilityDuration}s 동안, <span class=\"highlight\">모든 총알이 즉시 침묵 효과</span>를 적용합니다. 침묵은 대상이 능력을 사용하는 것을 방지합니다."
"upgrade_silencer_passive1"		"당신의 총알이 <span class=\"highlight\">침묵된 대상</span>에게 <span class=\"highlight\">+{s:BonusBulletDamageToEMPTargets}% 피해</span>를 줍니다."
"upgrade_silencer_passive2"		"당신의 총알이 적 영웅에게 <span class=\"highlight\">EMP</span>를 축적하여 그들의 능력 사용을 방지합니다."
"SilencerSlowPercent_label"		"총알 둔화 확률"
"SilencerSlowPercent_postfix"	"%"
"SilencerSlowPercent_prefix"	"+"

// Magitech Rounds
"upgrade_proc_tech_damage_desc"	"당신의 총알이 <span class=\"highlight\">기본 총알 피해 [{s:BaseDamagePerShot}]</span>을 스피릿 피해로 추가로 줍니다. 마법 기술 탄환은 <span class=\"highlight\">{s:SpellAmplificationMultiplier}배</span> 증폭을 받으며, 샷건은 각 총알 간의 피해를 나눕니다. 이 효과는 {s:ProcCooldown}s마다 한 번만 발생할 수 있습니다."

// Slowing Bullets
"upgrade_slowing_bullets_desc"	"당신의 총알이 <span class=\"highlight\">이동 속도 둔화</span>를 적용합니다."
"upgrade_slowing_bullets/modifier_slowing_bullets_proc/modifier_slow_base"					"둔화됨"

// Inhibitor
"upgrade_inhibitor_desc"	"당신의 총알이 <span class=\"highlight\">이동 속도 둔화</span>를 적용하며, 대상의 <span class=\"highlight\">출력 피해</span>를 감소시킵니다."
"modifier_inhibitor_debuff"	"저해제"
"OutgoingAbilityDamagePenaltyPercent_label"	"피해 패널티"
"OutgoingAbilityDamagePenaltyPercent_postfix"	"%"

// Armor Piercing Rounds
"upgrade_armor_reduction_debuff_desc"	"당신의 총알이 대상의 <span class=\"highlight\">총탄 저항을 {s:ResistReduction}%</span> 감소시키며, {s:AbilityDuration}s 동안 적용됩니다. 또한 <span class=\"highlight\">총알 방패</span>에 대해 추가 피해를 입힙니다."
"modifier_armor_breaking_bullets"	"장갑 관통 탄환"

// Detention Rounds
"upgrade_weapon_detention_ammo_desc"	"당신의 총알이 적에게 쌓여, 그들을 <span class=\"highlight\">붙잡아</span> 그들의 위치에 고정시킵니다."
"modifier_upgrade_detention_ammo_detaining"				"붙잡는 중..."
"Detained"	"붙잡힘"
"detention_immune"		"붙잡힘 면역"
"ImmunityDuration_label"		"면역 지속시간"
"ImmunityDuration_postfix"	"s"

// Leveler
"upgrade_leveler_active_desc"	"<span class=\"highlight\">대상에게 사슬</span>을 적용하며, <span class=\"highlight\">당신과 대상</span>의 <span class=\"highlight\">총탄 저항</span>을 감소시킵니다."
"upgrade_leveler_passive_desc"	"헤드샷이 추가 피해를 입히며 적의 연사 속도를 크게 감소시킵니다."
"upgrade_leveler_innate_desc"	"근접 범위<br>구속 탄환"

// Hunter's Aura
"upgrade_bullet_armor_reduction_aura_desc"		"근처의 적의 <span class=\"highlight\">총탄 저항과 연사 속도</span>를 감소시킵니다. 근처에 적 영웅이 하나만 있으면, 이 <span class=\"highlight\">효과가 3배</span>로 증가합니다."
"modifier_bullet_armor_reduction"							"총탄 저항 감소"
"upgrade_bullet_armor_reduction_aura/modifier_bullet_armor_reduction_aura/modifier_bullet_armor_reduction"	"총알 방어 감소"

// Adrenaline Rush
"upgrade_nearby_enemy_boost_desc"	"두 명 이상의 적 영웅이 근처에 있을 때, 추가 <span class=\"highlight\">무기 피해</span>와 <span class=\"highlight\">연사 속도</span>를 얻습니다."
// Heroic Aura
"upgrade_dps_aura_active_desc"	"당신과 주변 아군에게 <span class=\"highlight\">이동 속도</span>와 <span class=\"highlight\">연사 속도</span> 보너스를 제공합니다."
"upgrade_dps_aura_desc"			"주변 아군 하수인에게 <span class=\"highlight\">연사 속도</span>를 제공합니다."
"modifier_dps_aura_active"		"영웅 오라 활성화"
"modifier_dps_aura_player"		"영웅 연사 속도"

// Base Damage
"BonusBaseDamage_label"			"기본 총알 및 근접 피해"
"BonusBaseDamage_postfix"		"%"

// Fire Rate Aura
"upgrade_fire_rate_aura_desc"	"당신과 주변 팀원들에게 <span class=\"highlight\">연사 속도</span> 증가를 제공합니다. 영웅이 아닌 적에게는 다른 보너스가 적용됩니다."
"upgrade_fire_rate_aura/modifier_fire_rate_aura/modifier_fire_rate_aura_target"		"연사 속도 오라"

// Warp Stone
"upgrade_warp_stone_desc"	"<span class=\"highlight\">전방으로 텔레포트</span>하며 <span class=\"highlight\">총탄 저항</span>을 얻습니다."
"WarpStoneRange_label"		"텔레포트 범위"
"WarpStoneRange_postfix"		"m"
"modifier_warp_stone_caster"	"워프 스톤"
"CasterBuffDuration_label"	"강화 효과 지속 시간"
"CasterBuffDuration_postfix"	"s"
"CasterSlowPercent_label"		"자신의 느려짐"
"CasterSlowPercent_postfix"	"%"

// Torment Pulse
"upgrade_tech_damage_pulse_desc"	"주기적으로 가장 가까운 두 적에게 <span class=\"highlight\">스피릿 피해</span>를 입힙니다."

// Mystic Burst
"upgrade_magic_burst_desc"	"능력이 한 번의 타격으로 {s:MinimumDamage} 이상의 피해를 입히면 보너스 <span class=\"highlight\">스피릿 피해</span>를 추가로 입힙니다."
"MagicBurstDamage_label"		"보너스 피해"

// Improved Burst
